sgRNA	Gene	Reads
HGLibA_50806	TNFSF12-TNFSF13	510
HGLibA_09994	CLEC4G	377
HGLibA_61556	hsa-mir-511	439
HGLibA_05078	C10orf55	453
HGLibA_51225	TRA2B	257
HGLibA_56861	ZNF844	722
HGLibA_00886	ADC	340
HGLibA_22094	HRH1	431
HGLibA_06485	C6orf25	40
HGLibA_32295	NOMO3	284
HGLibA_14405	ECI1	250
HGLibA_60780	hsa-mir-4666b	215
HGLibA_00096	ABCA1	178
HGLibA_37765	POU3F1	125
HGLibA_50856	TNKS2	188
HGLibA_18095	FSIP2	201
HGLibA_60053	hsa-mir-4417	6
HGLibA_55251	ZFPM1	146
HGLibA_52320	TUBGCP6	132
HGLibA_14704	EIF1	42
HGLibA_15011	EMC3	374
HGLibA_38674	PROKR2	375
HGLibA_05032	C10orf111	643
HGLibA_62928	hsa-mir-6514	373
HGLibA_36806	PKDCC	319
HGLibA_50862	TNN	237
HGLibA_22786	IGDCC3	267
HGLibA_62013	hsa-mir-548i-1	184
HGLibA_36750	PITPNM1	116
HGLibA_49533	TIMMDC1	276
HGLibA_55240	ZFP90	277
HGLibA_43361	SEMA5B	297
HGLibA_06074	C22orf39	295
HGLibA_16682	FAM69C	292
HGLibA_64848	NonTargetingControlGuideForHuman_0465	276
HGLibA_19354	GLTSCR1L	453
HGLibA_19724	GPALPP1	207
HGLibA_60579	hsa-mir-4530	516
HGLibA_64094	hsa-mir-8064	149
HGLibA_43660	SETD8	65
HGLibA_62744	hsa-mir-626	15
HGLibA_23663	ISL1	196
HGLibA_07101	CAMLG	251
HGLibA_34106	OR51F2	371
HGLibA_18703	GATSL2	304
HGLibA_09039	CENPB	117
HGLibA_09647	CHST7	221
HGLibA_63314	hsa-mir-6784	278
HGLibA_20412	GSDMD	52
HGLibA_24096	KBTBD12	292
HGLibA_18395	GABRG3	210
HGLibA_04334	BCL6B	219
HGLibA_54658	YEATS4	68
HGLibA_15922	FABP5	251
HGLibA_22297	HSPA9	358
HGLibA_43547	SERPINB2	71
HGLibA_47938	SYCP3	82
HGLibA_34916	PA2G4	262
HGLibA_08429	CD68	274
HGLibA_38109	PPP1R3E	489
HGLibA_08291	CD207	649
HGLibA_21738	HMHA1	160
HGLibA_37883	PPFIA4	76
HGLibA_01124	AFMID	281
HGLibA_56242	ZNF560	284
HGLibA_05577	C17orf77	47
HGLibA_40820	RELL2	177
HGLibA_18413	GAD2	381
HGLibA_38873	PRRG2	397
HGLibA_43304	SELP	53
HGLibA_22154	HSBP1L1	359
HGLibA_31429	NDST2	429
HGLibA_65032	NonTargetingControlGuideForHuman_0649	26
HGLibA_07698	CCDC172	321
HGLibA_04234	BCAM	142
HGLibA_16751	FAM83E	82
HGLibA_58221	hsa-mir-2110	109
HGLibA_62463	hsa-mir-591	94
HGLibA_00599	ACTA2	364
HGLibA_32281	NOL9	217
HGLibA_42150	RPS4Y2	270
HGLibA_17826	FOXC2	274
HGLibA_38610	PRM2	153
HGLibA_19828	GPN2	82
HGLibA_13374	DLX2	189
HGLibA_16445	FAM20A	192
HGLibA_19856	GPR113	280
HGLibA_20957	HCFC1	94
HGLibA_58768	hsa-mir-3174	198
HGLibA_63905	hsa-mir-761	317
HGLibA_32085	NLN	203
HGLibA_52011	TSSK2	287
HGLibA_44051	SHISA8	228
HGLibA_09654	CHSY1	199
HGLibA_15053	EMILIN3	257
HGLibA_30003	MRPL48	173
HGLibA_30514	MTX2	203
HGLibA_38496	PRKAB1	1152
HGLibA_26911	LOC283710	92
HGLibA_21608	HLA-DOA	161
HGLibA_22416	HTRA4	270
HGLibA_64813	NonTargetingControlGuideForHuman_0430	319
HGLibA_44012	SHCBP1	29
HGLibA_45672	SMCO4	128
HGLibA_48653	TBX19	174
HGLibA_31134	NAPG	218
HGLibA_34421	OR6K3	230
HGLibA_09285	CFL2	135
HGLibA_06300	C4orf19	224
HGLibA_05866	C1orf52	614
HGLibA_22475	IARS2	132
HGLibA_14538	EFCAB3	309
HGLibA_11289	CRYL1	126
HGLibA_05515	C17orf100	74
HGLibA_10241	CNBD1	163
HGLibA_17556	FKBP11	443
HGLibA_55373	ZMAT3	23
HGLibA_03142	ARSG	110
HGLibA_14950	ELN	148
HGLibA_55087	ZDHHC17	221
HGLibA_15413	ERBB2	165
HGLibA_40563	RBM46	99
HGLibA_18663	GAST	45
HGLibA_42140	RPS3A	151
HGLibA_47305	STAB1	295
HGLibA_38272	PRAM1	235
HGLibA_34864	P2RX7	321
HGLibA_08487	CD97	169
HGLibA_51680	TRMT1L	383
HGLibA_13844	DPH3P1	438
HGLibA_06513	C6orf89	320
HGLibA_06420	C5orf63	96
HGLibA_06741	C9orf50	408
HGLibA_23185	IL6R	256
HGLibA_26446	LHX1	134
HGLibA_36278	PGPEP1	106
HGLibA_22221	HSF1	81
HGLibA_25239	KLK12	178
HGLibA_03205	ASB10	683
HGLibA_50120	TMEM185A	239
HGLibA_15100	EN2	565
HGLibA_51608	TRIM74	141
HGLibA_10427	CNTNAP3B	115
HGLibA_58030	hsa-mir-1909	401
HGLibA_54635	YARS	129
HGLibA_23789	ITGB5	623
HGLibA_57764	hsa-mir-1323	149
HGLibA_19857	GPR114	80
HGLibA_31385	NDE1	66
HGLibA_28813	MED7	186
HGLibA_30034	MRPS12	362
HGLibA_17581	FKBP6	239
HGLibA_24185	KCNE1L	454
HGLibA_52783	UBXN2A	141
HGLibA_20200	GRAMD1C	218
HGLibA_25485	KRT34	489
HGLibA_28291	MAPK8IP3	13
HGLibA_03177	ARVCF	111
HGLibA_48566	TBC1D8	437
HGLibA_64545	NonTargetingControlGuideForHuman_0162	227
HGLibA_09729	CISD2	19
HGLibA_36856	PKP2	131
HGLibA_35753	PDCL3	248
HGLibA_33665	OR1F1	158
HGLibA_11043	CPZ	242
HGLibA_63794	hsa-mir-7108	52
HGLibA_40946	RFT1	208
HGLibA_10040	CLINT1	600
HGLibA_62411	hsa-mir-5787	188
HGLibA_29010	METTL4	278
HGLibA_25480	KRT33A	229
HGLibA_31284	NCBP2	94
HGLibA_51219	TPX2	50
HGLibA_56815	ZNF816-ZNF321P	235
HGLibA_34376	OR6B2	301
HGLibA_06303	C4orf21	77
HGLibA_60869	hsa-mir-4690	140
HGLibA_52259	TUBA3E	111
HGLibA_17897	FOXK2	118
HGLibA_36818	PKIA	150
HGLibA_50968	TOMM40	164
HGLibA_54439	WWC1	126
HGLibA_46493	SPATA31C2	188
HGLibA_02884	ARID1B	61
HGLibA_06020	C20orf26	117
HGLibA_34786	OTX2	94
HGLibA_03609	ATP2A2	44
HGLibA_15765	EXOG	74
HGLibA_21067	HEATR1	351
HGLibA_49231	TGFBR3L	139
HGLibA_57008	ZSCAN23	417
HGLibA_33717	OR1S2	254
HGLibA_49950	TMEM135	115
HGLibA_11197	CRLS1	210
HGLibA_13626	DNAJC5B	48
HGLibA_00703	ACY1	215
HGLibA_00401	ACBD4	193
HGLibA_30976	NAA15	549
HGLibA_55023	ZCCHC18	178
HGLibA_48824	TCN2	386
HGLibA_01515	AKT3	99
HGLibA_22144	HS6ST2	350
HGLibA_40675	RCAN3	115
HGLibA_63954	hsa-mir-7705	71
HGLibA_21869	HOMER3	167
HGLibA_38574	PRKDC	221
HGLibA_05434	C15orf65	645
HGLibA_62069	hsa-mir-548u	243
HGLibA_07216	CARD10	385
HGLibA_32505	NPPC	438
HGLibA_23538	IQGAP3	50
HGLibA_20411	GSDMC	474
HGLibA_30700	MYF6	97
HGLibA_46773	SPP2	75
HGLibA_13741	DOCK2	83
HGLibA_41139	RHBDL2	60
HGLibA_49829	TMED9	56
HGLibA_47867	SUV420H2	310
HGLibA_08582	CDC42SE1	3
HGLibA_35271	PATE1	255
HGLibA_49762	TMC6	99
HGLibA_03571	ATP13A3	442
HGLibA_54691	YJEFN3	429
HGLibA_05644	C19orf26	151
HGLibA_63091	hsa-mir-6734	123
HGLibA_22932	IKZF2	321
HGLibA_62269	hsa-mir-5688	843
HGLibA_22254	HSP90AB1	224
HGLibA_55160	ZFAND5	227
HGLibA_26904	LOC200726	377
HGLibA_26478	LIFR	191
HGLibA_25684	KRTAP19-8	55
HGLibA_21479	HIST1H3I	217
HGLibA_35731	PDCD2L	23
HGLibA_11336	CSF2RB	222
HGLibA_38382	PRDM16	405
HGLibA_01898	ANGEL2	285
HGLibA_32631	NR4A3	165
HGLibA_38474	PRICKLE2	324
HGLibA_63881	hsa-mir-718	132
HGLibA_30810	MYO18A	92
HGLibA_52514	UBA1	375
HGLibA_34315	OR5K3	168
HGLibA_60042	hsa-mir-433	156
HGLibA_46401	SPANXN1	231
HGLibA_13772	DOK3	402
HGLibA_32659	NRBP2	112
HGLibA_48585	TBCC	222
HGLibA_62184	hsa-mir-5586	87
HGLibA_61842	hsa-mir-548a-2	158
HGLibA_41572	RNF17	481
HGLibA_34857	P2RX5	247
HGLibA_36578	PIGQ	435
HGLibA_24061	KAT6A	293
HGLibA_50761	TNFRSF14	79
HGLibA_37487	POLA2	159
HGLibA_52761	UBR7	90
HGLibA_11755	CTXN1	243
HGLibA_38354	PRCC	129
HGLibA_15796	EXOSC9	306
HGLibA_23897	IZUMO3	348
HGLibA_52710	UBL5	89
HGLibA_61807	hsa-mir-532	72
HGLibA_22111	HRSP12	81
HGLibA_28992	METTL23	403
HGLibA_12089	CYP26B1	403
HGLibA_26964	LOC643037	352
HGLibA_41908	RPL23A	162
HGLibA_51045	TOX4	324
HGLibA_02809	ARHGEF10L	214
HGLibA_55437	ZNF106	144
HGLibA_24087	KAZALD1	197
HGLibA_62567	hsa-mir-6078	225
HGLibA_37409	PNPLA2	68
HGLibA_29998	MRPL47	222
HGLibA_19625	GOLGA6L4	52
HGLibA_37302	PMF1	264
HGLibA_06553	C7orf55	239
HGLibA_48690	TCAIM	183
HGLibA_62970	hsa-mir-659	408
HGLibA_28144	MAP2K3	384
HGLibA_18260	FZD1	130
HGLibA_13413	DMPK	86
HGLibA_49183	TFPI	238
HGLibA_21114	HELLS	149
HGLibA_42405	RTN3	48
HGLibA_21893	HOXA1	106
HGLibA_13402	DMD	457
HGLibA_56106	ZNF500	229
HGLibA_30707	MYH10	141
HGLibA_36895	PLA2G2F	348
HGLibA_27884	MAFK	171
HGLibA_27894	MAGEA10	477
HGLibA_35679	PCSK5	25
HGLibA_04125	BAIAP2L1	264
HGLibA_36122	PEX6	114
HGLibA_52586	UBE2D2	376
HGLibA_29203	MICAL2	275
HGLibA_23147	IL36B	292
HGLibA_36140	PFDN2	521
HGLibA_14536	EFCAB2	128
HGLibA_48754	TCERG1	87
HGLibA_11084	CRCT1	182
HGLibA_32240	NOC4L	259
HGLibA_39284	PTCHD4	326
HGLibA_34911	P4HTM	152
HGLibA_35907	PDLIM1	359
HGLibA_34333	OR5M11	410
HGLibA_31383	NDC80	64
HGLibA_09991	CLEC4F	121
HGLibA_61760	hsa-mir-520g	281
HGLibA_57751	hsa-mir-130b	252
HGLibA_48103	SYTL3	486
HGLibA_12830	DEFB106A	208
HGLibA_33101	NUTM1	500
HGLibA_02820	ARHGEF15	165
HGLibA_13111	DHODH	363
HGLibA_53057	UPF1	424
HGLibA_09576	CHRNA5	176
HGLibA_34725	OTOF	208
HGLibA_57782	hsa-mir-133b	327
HGLibA_14026	DSG2	228
HGLibA_04699	BORA	205
HGLibA_26448	LHX1	159
HGLibA_28364	MARK1	179
HGLibA_46942	SRD5A2	469
HGLibA_22721	IFNL2	142
HGLibA_38734	PRPF40A	441
HGLibA_52709	UBL4B	236
HGLibA_19382	GLYCTK	168
HGLibA_31158	NARS2	222
HGLibA_54981	ZC3H7A	379
HGLibA_16897	FASTK	142
HGLibA_07536	CCDC11	230
HGLibA_58106	hsa-mir-197	90
HGLibA_53811	VPS54	132
HGLibA_22141	HS6ST1	268
HGLibA_02864	ARHGEF4	142
HGLibA_35381	PCCB	95
HGLibA_08625	CDCP2	291
HGLibA_29827	MRFAP1	83
HGLibA_07645	CCDC151	33
HGLibA_64475	NonTargetingControlGuideForHuman_0092	215
HGLibA_04164	BARX1	376
HGLibA_36032	PELI1	316
HGLibA_14200	DUT	165
HGLibA_33173	NXT1	492
HGLibA_15139	ENO1	146
HGLibA_44879	SLC2A4RG	167
HGLibA_06044	C21orf59	308
HGLibA_23760	ITGAM	239
HGLibA_27098	LPIN2	160
HGLibA_46263	SOX4	335
HGLibA_13547	DNAJB5	356
HGLibA_55589	ZNF212	197
HGLibA_56697	ZNF768	394
HGLibA_62152	hsa-mir-5572	503
HGLibA_31947	NIP7	88
HGLibA_17669	FLT3LG	249
HGLibA_27335	LRRC37B	227
HGLibA_60444	hsa-mir-4504	245
HGLibA_11083	CRCT1	67
HGLibA_51591	TRIM68	382
HGLibA_20128	GPRC5B	80
HGLibA_25574	KRT86	212
HGLibA_16583	FAM3D	199
HGLibA_22002	HOXD4	221
HGLibA_57998	hsa-mir-184	339
HGLibA_12727	DDX49	335
HGLibA_37510	POLE	323
HGLibA_46469	SPATA31A1	118
HGLibA_14947	ELMSAN1	256
HGLibA_25972	LAMC2	232
HGLibA_47603	STS	277
HGLibA_21337	HIP1R	170
HGLibA_20800	HACE1	486
HGLibA_40885	REV1	311
HGLibA_36233	PGF	477
HGLibA_58232	hsa-mir-2115	194
HGLibA_00207	ABCF1	632
HGLibA_06634	C8orf48	263
HGLibA_36449	PHOX2A	253
HGLibA_30803	MYO10	170
HGLibA_03979	B3GAT3	188
HGLibA_16588	FAM43A	154
HGLibA_56130	ZNF512	297
HGLibA_17534	FIP1L1	211
HGLibA_17827	FOXD1	212
HGLibA_23988	JPH4	386
HGLibA_37871	PPEF2	518
HGLibA_56875	ZNF853	104
HGLibA_57203	hsa-mir-10b	258
HGLibA_58935	hsa-mir-320c-1	102
HGLibA_02354	AP5B1	298
HGLibA_32954	NUDT16L1	54
HGLibA_22101	HRH3	122
HGLibA_42428	RTP3	33
HGLibA_08194	CCT2	131
HGLibA_07761	CCDC34	190
HGLibA_38798	PRR19	83
HGLibA_25736	KRTAP29-1	148
HGLibA_39414	PTPLA	152
HGLibA_41330	RIPPLY2	383
HGLibA_26847	LOC100505478	98
HGLibA_44303	SLA2	30
HGLibA_32900	NUBP1	364
HGLibA_31885	NGRN	44
HGLibA_53156	UROD	120
HGLibA_44003	SHC2	120
HGLibA_35200	PARK7	357
HGLibA_09418	CHEK1	39
HGLibA_49524	TIMM8A	177
HGLibA_07933	CCDC94	93
HGLibA_62584	hsa-mir-6081	186
HGLibA_12506	DCLK3	154
HGLibA_37563	POLR2A	59
HGLibA_30230	MSMP	242
HGLibA_15486	ERI3	87
HGLibA_04732	BPIFB6	401
HGLibA_44749	SLC25A45	204
HGLibA_46779	SPPL2B	157
HGLibA_40535	RBM34	355
HGLibA_62665	hsa-mir-6129	170
HGLibA_35334	PBLD	84
HGLibA_47648	STX4	110
HGLibA_26320	LEPREL2	128
HGLibA_28728	MECP2	267
HGLibA_17269	FECH	101
HGLibA_12057	CYP11B2	112
HGLibA_10633	COLEC10	88
HGLibA_19864	GPR116	230
HGLibA_50066	TMEM174	563
HGLibA_17435	FGFR1	452
HGLibA_42116	RPS25	36
HGLibA_32369	NOX1	216
HGLibA_23269	INA	328
HGLibA_28177	MAP3K19	77
HGLibA_22036	HPN	179
HGLibA_59711	hsa-mir-4251	140
HGLibA_30667	MYCBP	415
HGLibA_19296	GLP2R	127
HGLibA_63571	hsa-mir-6850	165
HGLibA_03568	ATP13A2	231
HGLibA_53003	UNC13D	158
HGLibA_62977	hsa-mir-661	478
HGLibA_51326	TRAPPC5	191
HGLibA_62556	hsa-mir-6076	97
HGLibA_08766	CDK3	265
HGLibA_32171	NME7	434
HGLibA_03714	ATP6V0C	81
HGLibA_31975	NIPSNAP3A	134
HGLibA_53820	VPS9D1	140
HGLibA_27541	LSM4	128
HGLibA_52427	TXNDC8	230
HGLibA_34604	ORC2	163
HGLibA_00602	ACTB	251
HGLibA_00928	ADCY8	321
HGLibA_63965	hsa-mir-7844	27
HGLibA_01164	AGAP9	382
HGLibA_28532	MBTD1	169
HGLibA_22671	IFNA17	371
HGLibA_17883	FOXI3	69
HGLibA_63104	hsa-mir-6738	70
HGLibA_09659	CHSY3	356
HGLibA_51918	TSPAN19	508
HGLibA_12643	DDT	302
HGLibA_11655	CTNNBL1	334
HGLibA_04233	BCAM	177
HGLibA_40004	RABEP2	358
HGLibA_21961	HOXC12	346
HGLibA_05831	C1orf216	187
HGLibA_43114	SDCCAG3	273
HGLibA_22753	IFT20	377
HGLibA_13689	DNM2	61
HGLibA_13830	DPF2	200
HGLibA_49129	TFAP2D	162
HGLibA_36400	PHIP	202
HGLibA_05002	BUD31	24
HGLibA_28452	MAZ	432
HGLibA_08937	CEACAM3	336
HGLibA_23875	ITSN2	15
HGLibA_11658	CTNND1	365
HGLibA_05194	C11orf83	156
HGLibA_16129	FAM134C	195
HGLibA_12133	CYP2F1	386
HGLibA_41316	RIPK1	322
HGLibA_65093	NonTargetingControlGuideForHuman_0710	58
HGLibA_01150	AGAP5	361
HGLibA_45442	SLC9C2	323
HGLibA_42497	RXFP2	236
HGLibA_22121	HS3ST1	120
HGLibA_04656	BNIP3	434
HGLibA_06144	C2orf50	183
HGLibA_34149	OR52B4	598
HGLibA_51962	TSPO2	65
HGLibA_60961	hsa-mir-4715	115
HGLibA_50259	TMEM231	200
HGLibA_20709	GYS1	327
HGLibA_60211	hsa-mir-4451	100
HGLibA_03628	ATP2C2	67
HGLibA_53640	VGLL3	77
HGLibA_40763	RECK	208
HGLibA_56000	ZNF44	541
HGLibA_15005	EMC10	491
HGLibA_54742	YWHAE	151
HGLibA_20812	HADHB	336
HGLibA_14542	EFCAB4A	142
HGLibA_02787	ARHGAP6	686
HGLibA_12527	DCPS	234
HGLibA_37326	PMPCA	121
HGLibA_48903	TDRD12	360
HGLibA_51800	TRRAP	491
HGLibA_35786	PDE4A	68
HGLibA_01038	ADRA1A	149
HGLibA_39293	PTDSS2	175
HGLibA_36235	PGF	244
HGLibA_41000	RGL1	305
HGLibA_50098	TMEM181	217
HGLibA_37247	PLTP	164
HGLibA_62005	hsa-mir-548h-4	468
HGLibA_43603	SERTAD1	149
HGLibA_20740	H1FOO	117
HGLibA_30307	MT4	107
HGLibA_19675	GORAB	271
HGLibA_49658	TLR6	383
HGLibA_51291	TRANK1	181
HGLibA_63275	hsa-mir-6775	197
HGLibA_43254	SEC61B	226
HGLibA_20131	GPRC5C	175
HGLibA_05881	C1orf63	332
HGLibA_28143	MAP2K2	71
HGLibA_29873	MROH6	76
HGLibA_14255	DYNLL2	644
HGLibA_52476	TYSND1	374
HGLibA_00723	ADAD2	384
HGLibA_12615	DDIT3	27
HGLibA_39682	PYDC1	346
HGLibA_45565	SLX4IP	365
HGLibA_25303	KLRF1	478
HGLibA_20605	GTPBP2	320
HGLibA_43347	SEMA4C	54
HGLibA_60190	hsa-mir-4446	81
HGLibA_00925	ADCY7	290
HGLibA_22728	IFNL4	248
HGLibA_09375	CHCHD5	177
HGLibA_24509	KDM4B	131
HGLibA_59848	hsa-mir-4285	309
HGLibA_11811	CWC15	252
HGLibA_25127	KLHL11	140
HGLibA_58478	hsa-mir-30c-1	425
HGLibA_19459	GNAL	348
HGLibA_19071	GIMAP1	321
HGLibA_05066	C10orf32	112
HGLibA_15092	EMX1	297
HGLibA_25859	KRTDAP	184
HGLibA_58325	hsa-mir-2392	481
HGLibA_29855	MRGPRX4	140
HGLibA_39169	PSMD3	156
HGLibA_27479	LRRN4	89
HGLibA_23299	INHA	188
HGLibA_29891	MRPL10	61
HGLibA_36757	PITPNM3	10
HGLibA_16602	FAM46C	21
HGLibA_28910	MESDC1	180
HGLibA_30116	MRRF	139
HGLibA_21535	HIST2H2BE	119
HGLibA_45225	SLC4A7	46
HGLibA_10172	CLYBL	142
HGLibA_53427	UTF1	290
HGLibA_56951	ZP1	124
HGLibA_28674	MDFIC	76
HGLibA_07830	CCDC64B	196
HGLibA_13346	DLGAP3	119
HGLibA_18757	GCA	189
HGLibA_31140	NAPSA	50
HGLibA_28470	MBD3	223
HGLibA_32365	NOVA1	215
HGLibA_43401	SENP7	522
HGLibA_17471	FH	247
HGLibA_05018	C10orf10	106
HGLibA_65367	NonTargetingControlGuideForHuman_0984	402
HGLibA_31786	NFATC4	153
HGLibA_00835	ADAMTS6	103
HGLibA_05125	C11orf24	277
HGLibA_37674	POMZP3	578
HGLibA_07409	CBLN2	148
HGLibA_16529	FAM227A	137
HGLibA_26805	LOC100132146	370
HGLibA_16034	FAM114A2	77
HGLibA_02907	ARID5A	307
HGLibA_02145	ANKRD7	160
HGLibA_22270	HSPA1A	187
HGLibA_22354	HTN3	128
HGLibA_45134	SLC3A2	661
HGLibA_00149	ABCB7	190
HGLibA_28807	MED4	87
HGLibA_10491	COG8	61
HGLibA_06011	C20orf201	196
HGLibA_17598	FKRP	214
HGLibA_26308	LEP	155
HGLibA_36419	PHLDA2	125
HGLibA_15170	ENPP2	289
HGLibA_41423	RNASEH1	218
HGLibA_23024	IL18BP	191
HGLibA_48876	TCTN2	124
HGLibA_62182	hsa-mir-5585	451
HGLibA_59925	hsa-mir-4303	374
HGLibA_30270	MSX1	194
HGLibA_18289	FZR1	249
HGLibA_60707	hsa-mir-4650-2	144
HGLibA_63911	hsa-mir-764	117
HGLibA_22459	HYLS1	140
HGLibA_11001	CPSF3	179
HGLibA_50639	TMPRSS3	220
HGLibA_05381	C15orf27	425
HGLibA_17945	FOXR1	127
HGLibA_06936	CACNG3	207
HGLibA_51739	TRPC5	219
HGLibA_49855	TMEM106B	286
HGLibA_15368	EPS15	172
HGLibA_17014	FBXL6	267
HGLibA_51153	TPMT	230
HGLibA_41556	RNF165	237
HGLibA_39481	PTPN9	226
HGLibA_59276	hsa-mir-3681	116
HGLibA_58639	hsa-mir-3145	163
HGLibA_56491	ZNF667	247
HGLibA_10651	COMMD1	161
HGLibA_62337	hsa-mir-5700	273
HGLibA_03512	ATIC	555
HGLibA_06157	C2orf62	23
HGLibA_18056	FRYL	194
HGLibA_50603	TMOD4	78
HGLibA_15758	EXOC6B	467
HGLibA_16886	FARSB	186
HGLibA_32783	NSUN3	300
HGLibA_18710	GBA	166
HGLibA_41749	ROCK2	70
HGLibA_17823	FOXC1	20
HGLibA_20414	GSDMD	78
HGLibA_51427	TRIM2	236
HGLibA_24959	KIF6	190
HGLibA_13350	DLGAP5	295
HGLibA_07765	CCDC37	241
HGLibA_06360	C5orf15	191
HGLibA_45409	SLC9A3R1	299
HGLibA_09798	CLASRP	302
HGLibA_22734	IFNW1	171
HGLibA_28726	MECP2	238
HGLibA_52656	UBE2S	206
HGLibA_22923	IKBKE	104
HGLibA_58987	hsa-mir-330	350
HGLibA_59069	hsa-mir-361	148
HGLibA_37209	PLOD2	386
HGLibA_43298	SELM	135
HGLibA_10549	COL24A1	527
HGLibA_53390	USP5	168
HGLibA_37075	PLEKHA5	346
HGLibA_20315	GRIN3B	285
HGLibA_11489	CSTF2T	75
HGLibA_16971	FBRSL1	121
HGLibA_14327	E2F8	257
HGLibA_12545	DCTN1	236
HGLibA_17222	FCN3	65
HGLibA_21675	HMCN1	471
HGLibA_08249	CD164	787
HGLibA_44956	SLC35A4	16
HGLibA_37714	POT1	181
HGLibA_29691	MOSPD3	54
HGLibA_32373	NOX3	421
HGLibA_17780	FOLH1	309
HGLibA_57865	hsa-mir-1470	302
HGLibA_02814	ARHGEF11	97
HGLibA_51637	TRIP11	436
HGLibA_35603	PCGF6	136
HGLibA_59938	hsa-mir-4307	67
HGLibA_21388	HIST1H2AE	220
HGLibA_22406	HTRA1	274
HGLibA_40236	RAP2A	162
HGLibA_30229	MSMP	236
HGLibA_02815	ARHGEF12	280
HGLibA_64917	NonTargetingControlGuideForHuman_0534	120
HGLibA_03644	ATP5C1	460
HGLibA_38207	PPP4R2	111
HGLibA_47324	STAG2	292
HGLibA_35417	PCDH8	91
HGLibA_62694	hsa-mir-615	7
HGLibA_51066	TP53I3	284
HGLibA_63519	hsa-mir-6836	84
HGLibA_28796	MED28	381
HGLibA_24342	KCNMB1	267
HGLibA_37576	POLR2E	86
HGLibA_35507	PCDHB7	197
HGLibA_58479	hsa-mir-30c-1	65
HGLibA_22015	HPCA	168
HGLibA_39195	PSME3	136
HGLibA_32034	NKX2-2	76
HGLibA_30989	NAA30	170
HGLibA_57747	hsa-mir-130a	297
HGLibA_60505	hsa-mir-4515	401
HGLibA_09288	CFLAR	149
HGLibA_63707	hsa-mir-6881	331
HGLibA_49069	TEX19	283
HGLibA_16158	FAM150B	147
HGLibA_03746	ATP6V1D	169
HGLibA_37539	POLM	62
HGLibA_41294	RIN3	208
HGLibA_15653	ETV3	158
HGLibA_21102	HECW1	423
HGLibA_39630	PVRL4	258
HGLibA_10776	CORO1B	184
HGLibA_47089	SRSF8	263
HGLibA_21086	HEBP2	433
HGLibA_63397	hsa-mir-6805	218
HGLibA_37527	POLH	665
HGLibA_38682	PROM2	165
HGLibA_33490	OR10G3	113
HGLibA_28004	MAGIX	70
HGLibA_40020	RABGGTB	259
HGLibA_36589	PIGT	27
HGLibA_44329	SLC10A1	268
HGLibA_43805	SGCE	438
HGLibA_41664	RNF32	23
HGLibA_38518	PRKAG3	87
HGLibA_31451	NDUFA2	82
HGLibA_55410	ZMYND10	126
HGLibA_24033	KANK4	466
HGLibA_40744	RDH14	185
HGLibA_12616	DDIT3	382
HGLibA_49994	TMEM150B	148
HGLibA_45378	SLC7A7	206
HGLibA_05900	C1orf86	151
HGLibA_20960	HCFC1R1	202
HGLibA_52382	TWISTNB	612
HGLibA_16284	FAM174B	423
HGLibA_49900	TMEM121	89
HGLibA_14241	DYNC1LI1	471
HGLibA_42148	RPS4Y2	97
HGLibA_60413	hsa-mir-4499	5
HGLibA_55866	ZNF354C	146
HGLibA_46482	SPATA31A6	70
HGLibA_15049	EMILIN2	196
HGLibA_48645	TBX10	315
HGLibA_18771	GCDH	65
HGLibA_30364	MTFR1L	563
HGLibA_41796	RP9	272
HGLibA_13805	DOT1L	68
HGLibA_13705	DNMT3B	17
HGLibA_08938	CEACAM3	242
HGLibA_64793	NonTargetingControlGuideForHuman_0410	178
HGLibA_04481	BHLHE41	234
HGLibA_08048	CCM2L	123
HGLibA_62362	hsa-mir-5705	385
HGLibA_02341	AP4B1	220
HGLibA_08447	CD79A	160
HGLibA_52163	TTC9B	264
HGLibA_31746	NEUROG1	45
HGLibA_63748	hsa-mir-6891	9
HGLibA_29013	METTL5	340
HGLibA_46144	SOD1	68
HGLibA_48916	TDRD9	182
HGLibA_12971	DENR	192
HGLibA_28580	MCF2L	118
HGLibA_31807	NFIC	132
HGLibA_21609	HLA-DOA	766
HGLibA_52563	UBB	162
HGLibA_21270	HHLA2	141
HGLibA_54984	ZC3H7B	112
HGLibA_16926	FAU	165
HGLibA_24870	KIF17	155
HGLibA_29033	MEX3C	180
HGLibA_52159	TTC9	141
HGLibA_00055	AAMP	99
HGLibA_50430	TMEM51	156
HGLibA_29582	MOAP1	168
HGLibA_04484	BHMT	141
HGLibA_24199	KCNG1	142
HGLibA_30577	MUSK	289
HGLibA_19104	GINS1	212
HGLibA_05420	C15orf57	91
HGLibA_25274	KLK9	182
HGLibA_00900	ADCK4	541
HGLibA_26490	LILRA1	225
HGLibA_31817	NFKB2	366
HGLibA_44496	SLC18B1	190
HGLibA_47613	STUB1	114
HGLibA_12382	DBH	509
HGLibA_42300	RSAD2	135
HGLibA_54200	WDR85	436
HGLibA_60119	hsa-mir-4433	117
HGLibA_48310	TAOK2	110
HGLibA_28833	MEF2BNB	101
HGLibA_43100	SDC2	288
HGLibA_08674	CDH26	514
HGLibA_63885	hsa-mir-744	168
HGLibA_01662	ALKBH6	187
HGLibA_25225	KLHL8	106
HGLibA_00013	A3GALT2	198
